"","speaker_role","word","target_child_age_months","speech_act","count","total","rel_freq","ppt"
"1068","Mother","other",23,"declarative",115590,117469,0.984004290493662,984.004290493662
"1069","Mother","other",23,"imperative",1786,1814,0.984564498346196,984.564498346196
"1070","Mother","other",23,"other",4383,4566,0.959921156373193,959.921156373193
"1071","Mother","other",23,"question",74474,75277,0.989332731113089,989.332731113089
"1072","Mother","other",24,"declarative",235048,239623,0.98090750887853,980.90750887853
"1073","Mother","other",24,"imperative",2596,2626,0.988575780654989,988.575780654989
"1074","Mother","other",24,"other",10718,11317,0.947070778474861,947.070778474861
"1075","Mother","other",24,"question",176711,179090,0.986716176224245,986.716176224245
"1076","Mother","other",25,"declarative",226622,231481,0.979009076338879,979.009076338879
"1077","Mother","other",25,"imperative",2379,2413,0.985909656029838,985.909656029838
"1078","Mother","other",25,"other",7789,8128,0.958292322834646,958.292322834646
"1079","Mother","other",25,"question",165428,167755,0.986128580370183,986.128580370183
"1080","Mother","other",26,"declarative",222777,227625,0.978701812191104,978.701812191104
"1081","Mother","other",26,"imperative",1728,1750,0.987428571428571,987.428571428571
"1082","Mother","other",26,"other",7784,8122,0.958384634326521,958.384634326521
"1083","Mother","other",26,"question",153664,155831,0.986093909427521,986.093909427521
"1084","Mother","other",27,"declarative",203614,207979,0.979012304126859,979.012304126859
"1085","Mother","other",27,"imperative",2215,2249,0.984882169853268,984.882169853268
"1086","Mother","other",27,"other",7091,7419,0.955789189917779,955.789189917779
"1087","Mother","other",27,"question",155121,157584,0.984370240633567,984.370240633567
"1088","Mother","other",28,"declarative",234353,239547,0.978317407439876,978.317407439876
"1089","Mother","other",28,"imperative",2849,2885,0.987521663778163,987.521663778163
"1090","Mother","other",28,"other",10245,10751,0.952934610733885,952.934610733885
"1091","Mother","other",28,"question",169254,171933,0.984418349008044,984.418349008044
"1092","Mother","other",29,"declarative",229451,234050,0.980350352488784,980.350352488784
"1093","Mother","other",29,"imperative",3045,3101,0.981941309255079,981.941309255079
"1094","Mother","other",29,"other",10240,10666,0.960060003750234,960.060003750234
"1095","Mother","other",29,"question",166908,169523,0.984574364540505,984.574364540505
"1096","Mother","other",30,"declarative",241764,246669,0.980115052965715,980.115052965715
"1097","Mother","other",30,"imperative",3685,3736,0.98634903640257,986.34903640257
"1098","Mother","other",30,"other",9074,9436,0.961636286562103,961.636286562103
"1099","Mother","other",30,"question",160508,162920,0.985195187822244,985.195187822244
"1100","Mother","other",31,"declarative",249758,255187,0.978725405291022,978.725405291022
"1101","Mother","other",31,"imperative",2630,2662,0.987978963185575,987.978963185575
"1102","Mother","other",31,"other",13596,14247,0.954306169719941,954.306169719941
"1103","Mother","other",31,"question",156160,158769,0.983567321076533,983.567321076533
"1104","Mother","other",32,"declarative",205996,210392,0.979105669417088,979.105669417088
"1105","Mother","other",32,"imperative",2620,2652,0.987933634992459,987.933634992459
"1106","Mother","other",32,"other",9669,10111,0.956285233903669,956.285233903669
"1107","Mother","other",32,"question",132256,134349,0.984421171724389,984.42117172439
"1108","Mother","other",33,"declarative",229467,234540,0.978370427219238,978.370427219238
"1109","Mother","other",33,"imperative",3254,3318,0.980711271850512,980.711271850512
"1110","Mother","other",33,"other",10104,10558,0.956999431710551,956.999431710551
"1111","Mother","other",33,"question",148056,150450,0.984087736789631,984.087736789631
"1112","Mother","other",34,"declarative",207472,211991,0.978683057299602,978.683057299602
"1113","Mother","other",34,"imperative",2532,2560,0.9890625,989.0625
"1114","Mother","other",34,"other",8713,9130,0.954326396495071,954.326396495071
